character,title,time
Lucas Sinclair,Stranger Things,43
Barbara Holland,Stranger Things,6.5
Karen Wheeler,Stranger Things,14.5
Jim Hopper,Stranger Things,63.5
Steve Harrington,Stranger Things,23
Jonathan Byers,Stranger Things,57.25
Joyce Byers,Stranger Things,60.25
Eleven,Stranger Things,65.75
Nancy Wheeler,Stranger Things,64
Dr. Martin Brenner,Stranger Things,14.75
Will Byers,Stranger Things,14
Mr. Clarke,Stranger Things,7
Officer Callahan,Stranger Things,9.5
Lonnie Byers,Stranger Things,7.5
Officer Powell,Stranger Things,9.5
Mike Wheeler,Stranger Things,64.5
Dustin Henderson,Stranger Things,44.25
