character,title,time
Peter Abernathy,Westworld,9
Hector Escaton,Westworld,22.5
Dr. Robert Ford,Westworld,76.75
Bernard Lowe,Westworld,87.5
Charlotte Hale,Westworld,15.5
Felix Lutz,Westworld,30.75
Maeve Millay,Westworld,82.75
Sylvester,Westworld,16.5
Lawrence,Westworld,25
Ashley Stubbs,Westworld,15.5
Theresa Cullen,Westworld,39.75
Angela,Westworld,8.5
Logan,Westworld,32.75
Dolores Abernathy,Westworld,127
The Man in Black,Westworld,121.25
Clementine Pennyfeather,Westworld,17.5
Teddy Flood,Westworld,51.25
Lee Sizemore,Westworld,16.25
Armistice,Westworld,16
Elsie King,Westworld,24.75
