character,movie,time
Professor Albus Dumbledore</a,Philosopher's/Sorcerer's Stone,585
Professor Albus Dumbledore</a,Chamber of Secrets,645
Professor Albus Dumbledore</a,Prisoner of Azkaban,375
Professor Albus Dumbledore</a,Goblet of Fire,855
Professor Albus Dumbledore</a,Order of the Phoenix,450
Professor Albus Dumbledore</a,Half-Blood Prince,1335
Professor Albus Dumbledore</a,"Deathly Hallows, Part I",45
Professor Albus Dumbledore</a,"Deathly Hallows, Part II",345
Romilda Vane</a,Philosopher's/Sorcerer's Stone,0
Romilda Vane</a,Chamber of Secrets,0
Romilda Vane</a,Prisoner of Azkaban,0
Romilda Vane</a,Goblet of Fire,0
Romilda Vane</a,Order of the Phoenix,0
Romilda Vane</a,Half-Blood Prince,60
Romilda Vane</a,"Deathly Hallows, Part I",15
Romilda Vane</a,"Deathly Hallows, Part II",45
Minister Rufus Scrimgeour</a,Philosopher's/Sorcerer's Stone,0
Minister Rufus Scrimgeour</a,Chamber of Secrets,0
Minister Rufus Scrimgeour</a,Prisoner of Azkaban,0
Minister Rufus Scrimgeour</a,Goblet of Fire,0
Minister Rufus Scrimgeour</a,Order of the Phoenix,0
Minister Rufus Scrimgeour</a,Half-Blood Prince,0
Minister Rufus Scrimgeour</a,"Deathly Hallows, Part I",0
Minister Rufus Scrimgeour</a,"Deathly Hallows, Part II",0
Neville Longbottom</a,Philosopher's/Sorcerer's Stone,195
Neville Longbottom</a,Chamber of Secrets,75
Neville Longbottom</a,Prisoner of Azkaban,180
Neville Longbottom</a,Goblet of Fire,255
Neville Longbottom</a,Order of the Phoenix,540
Neville Longbottom</a,Half-Blood Prince,90
Neville Longbottom</a,"Deathly Hallows, Part I",15
Neville Longbottom</a,"Deathly Hallows, Part II",345
Ron Weasley</a,Philosopher's/Sorcerer's Stone,1695
Ron Weasley</a,Chamber of Secrets,2295
Ron Weasley</a,Prisoner of Azkaban,1275
Ron Weasley</a,Goblet of Fire,1230
Ron Weasley</a,Order of the Phoenix,1260
Ron Weasley</a,Half-Blood Prince,1305
Ron Weasley</a,"Deathly Hallows, Part I",2145
Ron Weasley</a,"Deathly Hallows, Part II",1500
Barty Crouch Jr.</a,Philosopher's/Sorcerer's Stone,0
Barty Crouch Jr.</a,Chamber of Secrets,0
Barty Crouch Jr.</a,Prisoner of Azkaban,0
Barty Crouch Jr.</a,Goblet of Fire,975
