,red,orange,yellow,green,blue,brown
1,1,7,2,1,6,0
2,1,4,4,3,3,1
3,4,5,2,2,0,2
4,0,11,1,2,1,1
5,2,9,0,1,3,1
6,0,7,2,3,3,0
7,2,2,3,3,3,3
8,0,3,4,4,2,2
9,2,3,2,2,5,1
10,3,5,4,0,3,1
11,3,5,2,2,2,2
12,1,4,1,2,5,3
13,2,3,0,4,2,4
14,4,7,1,1,3,1
15,0,7,0,2,6,0
16,1,4,2,3,1,4
17,1,1,2,4,3,5
18,3,3,3,2,4,1
19,1,5,3,5,1,1
20,2,6,5,0,2,1
21,1,4,2,2,2,5
22,1,5,2,4,0,4
23,1,4,3,1,3,5
24,2,6,2,1,4,2
25,3,2,2,1,4,3
26,2,0,5,1,5,2
27,2,6,1,1,4,3
28,1,6,3,1,5,0
29,1,3,4,5,2,2
30,2,1,3,0,8,2
31,0,4,4,2,2,3
32,1,4,2,1,5,2
33,1,2,4,3,4,1
34,1,6,3,3,2,1
35,1,6,1,2,3,3
36,2,5,0,6,1,1
37,3,3,3,1,4,1
38,2,5,2,1,4,2
39,4,5,5,0,3,0
40,1,3,3,2,5,2
41,0,5,2,3,2,2
42,2,2,1,3,3,4
43,4,4,5,2,0,1
44,3,6,1,5,1,1
45,4,1,6,1,1,2
46,4,3,2,3,3,1
47,1,3,2,2,5,2
48,3,5,2,2,4,1
49,1,5,3,3,2,2
50,1,4,3,3,2,3
51,4,3,3,1,2,2
52,4,4,4,0,2,2
53,2,4,1,2,6,2
54,2,3,4,2,2,3
55,2,3,2,3,3,2
56,0,3,2,4,4,2
57,0,5,1,2,4,3
58,4,3,3,1,4,0
59,1,2,2,5,3,2
60,1,3,3,1,4,3
61,4,4,0,3,3,1
62,5,2,3,1,3,2
63,2,3,4,0,4,3
64,0,2,4,5,3,1
65,3,5,0,2,5,0
66,1,1,6,3,3,1
67,2,3,2,0,1,7
