date,time,session_min
2017,01:01:20-05:00,1
2017,01:08:37-05:00,15
2017,09:02:48-05:00,18
2017,10:16:13-05:00,8
2017,10:25:44-05:00,30
2017,11:04:52-05:00,15
2017,11:23:41-05:00,1
2017,12:03:29-05:00,2
2017,12:19:43-05:00,5
2017,12:53:34-05:00,18
2017,13:19:46-05:00,6
2017,13:29:18-05:00,5
2017,14:32:49-05:00,2
2017,14:44:08-05:00,18
2017,15:58:15-05:00,27
2017,16:26:18-05:00,6
2017,16:34:10-05:00,13
2017,16:52:39-05:00,35
2017,17:29:19-05:00,36
2017,08:48:15-05:00,20
2017,11:20:29-05:00,78
2017,12:46:22-05:00,7
2017,13:09:08-05:00,3
2017,13:28:59-05:00,2
2017,13:42:44-05:00,1
2017,14:12:02-05:00,6
2017,14:20:11-05:00,3
2017,14:27:29-05:00,8
2017,14:39:59-05:00,4
2017,14:48:20-05:00,1
2017,14:55:13-05:00,1
2017,14:57:30-05:00,3
2017,15:01:53-05:00,2
2017,15:07:41-05:00,1
2017,15:21:31-05:00,2
2017,15:38:52-05:00,1
2017,15:41:58-05:00,1
2017,15:50:12-05:00,10
2017,16:07:45-05:00,5
2017,16:50:03-05:00,8
2017,17:00:50-05:00,33
2017,18:49:07-05:00,30
2017,19:55:51-05:00,8
2017,20:19:11-05:00,5
2017,20:41:03-05:00,3
2017,22:44:41-05:00,2
2017,23:04:21-05:00,12
2017,23:19:37-05:00,17
2017,23:52:56-05:00,1
2017,00:32:11-05:00,1
2017,00:42:24-05:00,52
2017,01:37:04-05:00,14
2017,02:38:53-05:00,1
2017,02:46:39-05:00,11
2017,08:56:01-05:00,10
2017,10:00:34-05:00,3
2017,10:09:41-05:00,6
2017,10:17:48-05:00,3
2017,10:28:09-05:00,12
2017,11:20:01-05:00,1
2017,11:33:57-05:00,1
2017,11:36:59-05:00,13
2017,11:57:31-05:00,1
2017,15:27:50-05:00,3
2017,15:52:29-05:00,27
2017,16:23:49-05:00,1
2017,16:54:18-05:00,8
2017,17:23:57-05:00,3
2017,17:34:04-05:00,14
2017,18:01:02-05:00,5
2017,18:13:24-05:00,36
2017,18:52:20-05:00,3
2017,18:58:44-05:00,13
2017,19:16:09-05:00,10
2017,19:49:17-05:00,34
2017,20:24:53-05:00,17
2017,21:04:34-05:00,6
2017,22:12:11-05:00,65
2017,09:12:46-05:00,2
2017,09:48:37-05:00,1
2017,10:03:25-05:00,2
2017,10:10:37-05:00,1
