year,rank,movie_name,release_date,distributor_name,genre,mpaa_rating,num_tickets_sold
1994,1,The Lion King,1994/06/15,Walt-Disney,Adventure,G,"73,615,908"
1994,2,Forrest Gump,1994/07/06,Paramount-Pictures,Drama,PG-13,"73,170,570"
1994,3,True Lies,1994/07/15,20th-Century-Fox,Action,R,"35,853,532"
1994,4,The Santa Clause,1994/11/11,Walt-Disney,Comedy,PG,"33,813,590"
1994,5,The Flintstones,1994/05/27,Universal,Comedy,PG,"31,992,943"
1994,6,Clear and Present Danger,1994/08/03,Paramount-Pictures,Action,PG-13,"29,886,749"
1994,7,Speed,1994/06/10,20th-Century-Fox,Action,R,"29,717,682"
1994,8,The Mask,1994/07/29,New-Line,Comedy,PG-13,"29,133,863"
1994,9,Maverick,1994/05/20,Warner-Bros,Western,PG,"24,909,625"
1994,10,Interview with the Vampire: The Vampire Chronicles,1994/11/11,Warner-Bros,Horror,R,"24,703,540"
1994,11,Mrs. Doubtfire,1993/11/24,20th-Century-Fox,Comedy,PG-13,"23,634,795"
1994,12,The Client,1994/07/20,Warner-Bros,Drama,PG-13,"22,577,257"
1994,13,Schindler's List,1993/12/15,Universal,Drama,R,"21,890,523"
1994,14,Philadelphia,1993/12/22,Sony-TriStar,Drama,PG-13,"18,752,956"
1994,15,Ace Ventura: Pet Detective,1994/02/04,Warner-Bros,Comedy,PG-13,"17,700,342"
1994,16,Star Trek: Generations,1994/11/18,Paramount-Pictures,Adventure,PG,"17,513,309"
1994,17,Stargate,1994/10/28,MGM,Action,PG-13,"16,878,411"
1994,18,Dumb & Dumber,1994/12/16,New-Line,Comedy,PG-13,"16,299,990"
1994,19,Wolf,1994/06/17,Sony-Pictures,Thriller-or-Suspense,R,"15,934,254"
1994,20,Pulp Fiction,1994/10/14,Miramax,Drama,R,"15,602,993"
1994,21,The Specialist,1994/10/07,Warner-Bros,Action,R,"13,764,011"
1994,22,Four Weddings and a Funeral,1994/03/09,Gramercy,Romantic-Comedy,R,"12,916,870"
1994,23,The Little Rascals,1994/08/05,Universal,Comedy,PG,"12,687,487"
1994,24,Disclosure,1994/12/09,Warner-Bros,Drama,R,"12,674,840"
1994,25,Naked Gun 33 1/3: The Final Insult,1994/03/18,Paramount-Pictures,Comedy,PG-13,"12,510,258"
1994,26,The Crow,1994/05/11,Miramax,Action,R,"12,411,292"
1994,27,Natural Born Killers,1994/08/26,Warner-Bros,Black-Comedy,R,"12,324,207"
1994,28,Angels in the Outfield,1994/07/15,Walt-Disney,Comedy,PG,"12,312,948"
1994,29,When a Man Loves a Woman,1994/04/29,Walt-Disney,Drama,R,"12,260,284"
1994,30,The River Wild,1994/09/30,Universal,Action,PG-13,"11,208,968"
1994,31,D2: The Mighty Ducks,1994/03/25,Walt-Disney,Comedy,PG,"11,177,501"
1994,32,Timecop,1994/09/16,Universal,Action,R,"10,993,524"
1994,33,City Slickers II: The Legend of Curly's Gold,1994/06/10,Sony-Pictures,Comedy,PG-13,"10,647,290"
1994,34,Beverly Hills Cop III,1994/05/25,Paramount-Pictures,Action,R,"10,437,956"
1994,35,Grumpy Old Men,1993/12/25,Warner-Bros,Comedy,PG-13,"10,086,972"
1994,36,On Deadly Ground,1994/02/18,Warner-Bros,Action,R,"9,458,445"
1994,37,It Could Happen To You,1994/07/29,Sony-Pictures,Romantic-Comedy,PG,"9,260,874"
1994,38,The Paper,1994/03/18,Universal,Comedy,R,"9,011,840"
1994,39,The Shadow,1994/07/01,Universal,Action,PG-13,"7,802,843"
1994,40,Junior,1994/11/23,Universal,Comedy,PG-13,"7,561,756"
1994,41,I Love Trouble,1994/06/29,Walt-Disney,Romantic-Comedy,PG,"7,550,537"
1994,42,Major League II,1994/03/30,Warner-Bros,Comedy,PG,"7,506,417"
1994,43,Blank Check,1994/02/11,Walt-Disney,Comedy,PG,"7,493,571"
1994,44,Blown Away,1994/07/01,MGM,Action,R,"7,385,539"
1994,45,The Pelican Brief,1993/12/17,Warner-Bros,Drama,PG-13,"7,176,985"
1994,46,In the Army Now,1994/08/12,Walt-Disney,Comedy,PG,"7,078,741"
1994,47,A Low Down Dirty Shame,1994/11/23,Walt-Disney,Action,R,"6,700,325"
1994,48,Guarding Tess,1994/03/11,Sony-Pictures,Drama,PG-13,"6,623,352"
1994,49,My Father the Hero,1994/02/04,Miramax,Comedy,PG,"6,244,989"
1994,50,Wyatt Earp,1994/06/24,Warner-Bros,Western,PG-13,"6,140,196"
1994,51,Tombstone,1993/12/25,Walt-Disney,Western,R,"5,928,642"
1994,52,Renaissance Man,1994/06/03,Walt-Disney,Comedy,PG-13,"5,924,730"
1994,53,Ri&cent;hie Ri&cent;h,1994/12/21,Warner-Bros,Comedy,PG,"5,730,040"
1994,54,The Jungle Book,1994/12/25,Walt-Disney,Adventure,PG,"5,727,251"
1994,55,Drop Zone,1994/12/09,Paramount-Pictures,Action,R,"5,672,051"
1994,56,Blue Chips,1994/02/18,Paramount-Pictures,Drama,PG-13,"5,480,157"
1994,57,Frankenstein,1994/11/04,Sony-Pictures,Horror,R,"5,393,700"
1994,58,Quiz Show,1994/09/14,Walt-Disney,Drama,PG-13,"5,359,580"
1994,59,Street Fighter,1994/12/23,Universal,Action,PG-13,"5,270,270"
1994,60,The Piano,1993/11/12,Miramax,Drama,R,"5,231,458"
1994,61,The Air Up There,1994/01/07,Walt-Disney,Comedy,PG,"5,093,735"
1994,62,Jason's Lyric,1994/09/28,Gramercy,Drama,R,"5,062,479"
1994,63,Intersection,1994/01/21,Paramount-Pictures,Drama,R,"5,059,567"
1994,64,Iron Will,1994/01/14,Walt-Disney,Drama,PG,"5,054,674"
1994,65,Little Women,1994/12/21,Sony-Pictures,Drama,PG,"5,031,623"
1994,66,"Corrina, Corrina",1994/08/12,New-Line,Comedy,PG,"4,937,866"
1994,67,Reality Bites,1994/02/18,Universal,Romantic-Comedy,PG-13,"4,921,531"
1994,68,With Honors,1994/04/29,Warner-Bros,Drama,PG-13,"4,912,562"
1994,69,Only You,1994/10/07,Sony-Pictures,Romantic-Comedy,PG,"4,912,266"
1994,70,The Cowboy Way,1994/06/03,Universal,Comedy,PG-13,"4,836,153"
1994,71,Color of Night,1994/08/19,Walt-Disney,Thriller-or-Suspense,R,"4,834,816"
1994,72,8 Seconds,1994/02/25,New-Line,Drama,PG-13,"4,799,621"
1994,73,Little Giants,1994/10/14,Warner-Bros,Comedy,PG,"4,731,951"
