year,,movie,release_date,distributor,genre,mpaa,gross,num_tickets_sold
2016,1,Finding Dory,6/17/2016,Walt Disney,Adventure,PG,486295561,56219140
2016,2,Rogue One: A Star Wars Story,12/16/2016,Walt Disney,Adventure,PG-13,424987707,49131526
2016,3,Captain America: Civil War,5/6/2016,Walt Disney,Action,PG-13,408084349,47177381
2016,4,The Secret Life of Pets,7/8/2016,Universal,Adventure,PG,368384330,42587783
2016,5,The Jungle Book,4/15/2016,Walt Disney,Adventure,PG,364001123,42081054
2016,6,Deadpool,2/12/2016,20th Century Fox,Action,R,363070709,41973492
2016,7,Zootopia,3/4/2016,Walt Disney,Adventure,PG,341268248,39452976
2016,8,Batman v Superman: Dawn of Justice,3/25/2016,Warner Bros.,Action,PG-13,330360194,38191929
2016,9,Suicide Squad,8/5/2016,Warner Bros.,Action,PG-13,325100054,37583821
2016,10,Doctor Strange,11/4/2016,Walt Disney,Adventure,PG-13,230107790,26602056
2015,1,Star Wars Ep. VII: The Force Awakens,12/18/2015,Walt Disney,Adventure,PG-13,742208942,88043765
2015,2,Jurassic World,6/12/2015,Universal,Action,PG-13,652198010,77366311
2015,3,The Avengers: Age of Ultron,5/1/2015,Walt Disney,Action,PG-13,459005868,54449094
2015,4,Inside Out,6/19/2015,Walt Disney,Adventure,PG,356461711,42284900
2015,5,Furious 7,4/3/2015,Universal,Action,PG-13,351032910,41640914
2015,6,American Sniper,12/25/2014,Warner Bros.,Drama,R,347897084,41268930
2015,7,Minions,7/10/2015,Universal,Adventure,PG,336045770,39863080
2015,8,The Hunger Games: Mockingjay - Part 2,11/20/2015,Lionsgate,Thriller/Suspense,PG-13,274185395,32524957
2015,9,The Martian,10/2/2015,20th Century Fox,Thriller/Suspense,PG-13,225910757,26798429
2015,10,Cinderella,3/13/2015,Walt Disney,Drama,PG,201151353,23861370
2014,1,Guardians of the Galaxy,8/1/2014,Walt Disney,Adventure,PG-13,333055258,40765637
2014,2,The Hunger Games: Mockingjay - Part 1,11/21/2014,Lionsgate,Thriller/Suspense,PG-13,323734502,39624786
