character,start,end
Jane Burnham,27000,70000
Ricky Fitts,51000,70000
Lester Burnham,76000,132000
Carolyn Burnham,134000,195000
Lester Burnham,137000,195000
Jim Olmeyer,148000,195000
Jim Berkley,154000,195000
nt0313503,165000,195000
Jane Burnham,195000,263000
Lester Burnham,196000,263000
Carolyn Burnham,214000,263000
nt0313473,249000,263000
Lester Burnham,263000,305000
Brad,288000,305000
Brad,305000,374000
Lester Burnham,310000,374000
Carolyn Burnham,372000,374000
Lester Burnham,374000,413000
Carolyn Burnham,374000,413000
Jane Burnham,413000,518000
Lester Burnham,417000,518000
Carolyn Burnham,417000,518000
Lester Burnham,518000,617000
Jane Burnham,518000,617000
Ricky Fitts,561000,617000
Carolyn Burnham,608000,617000
Carolyn Burnham,617000,830000
Buddy Kane,633000,830000
Sale House Woman #1,697000,830000
Sale House Man #1,697000,830000
Sale House Woman #2,714000,830000
Sale House Man #2,715000,830000
Sale House Man #3,723000,830000
Sale House Women #4,726000,830000
Sale House Women #4,726000,830000
nt0025036,733000,830000
Jane Burnham,842000,1040000
Angela Hayes,842000,1040000
Spartanette #1,842000,1040000
Spartanette #9,842000,1040000
Spartanette #2,842000,1040000
Spartanette #3,842000,1040000
Spartanette #4,842000,1040000
Spartanette #5,842000,1040000
Spartanette #10,842000,1040000
Spartanette #6,842000,1040000
Spartanette #7,842000,1040000
Lester Burnham,863000,1040000
Carolyn Burnham,866000,1040000
Jane Burnham,1041000,1143000
Angela Hayes,1041000,1143000
Lester Burnham,1048000,1143000
Carolyn Burnham,1048000,1143000
Lester Burnham,1148000,1204000
Carolyn Burnham,1148000,1204000
Angela Hayes,1169000,1204000
Jane Burnham,1204000,1346000
Angela Hayes,1204000,1346000
Ricky Fitts,1293000,1346000
Lester Burnham,1346000,1429000
Angela Hayes,1366000,1429000
Jane Burnham,1374000,1429000
Ricky Fitts,1413000,1429000
Barbara Fitts,1418000,1429000
Barbara Fitts,1429000,1527000
Ricky Fitts,1433000,1527000
Colonel Fitts,1446000,1527000
Jim Olmeyer,1482000,1527000
Jim Berkley,1482000,1527000
Ricky Fitts,1531000,1586000
Colonel Fitts,1531000,1586000
Playground Girl #2,1586000,1744000
Playground Girl #1,1586000,1744000
Angela Hayes,1587000,1744000
Jane Burnham,1594000,1744000
Ricky Fitts,1636000,1744000
nt0323534,1694000,1744000
Barbara Fitts,1749000,1798000
Colonel Fitts,1749000,1798000
Ricky Fitts,1770000,1798000
Lester Burnham,1798000,1900000
Carolyn Burnham,1798000,1900000
Christy Kane,1811000,1900000
Buddy Kane,1817000,1900000
Lester Burnham,1900000,1958000
Carolyn Burnham,1913000,1958000
Buddy Kane,1914000,1958000
Christy Kane,1914000,1958000
nt0313471,1920000,1958000
Ricky Fitts,1922000,1958000
Carolyn Burnham,1958000,2025000
Buddy Kane,1958000,2025000
nt0025033,2008000,2025000
Lester Burnham,2025000,2148000
Ricky Fitts,2025000,2148000
Catering Boss,2036000,2148000
Carolyn Burnham,2086000,2148000
Jane Burnham,2148000,2269000
Angela Hayes,2148000,2269000
Lester Burnham,2164000,2269000
Carolyn Burnham,2253000,2269000
Lester Burnham,2269000,2388000
Jane Burnham,2271000,2388000
Angela Hayes,2272000,2388000
Ricky Fitts,2367000,2388000
nt0313480,2377000,2388000
Lester Burnham,2388000,2487000
Ricky Fitts,2402000,2487000
Colonel Fitts,2479000,2487000
Ricky Fitts,2487000,2549000
Colonel Fitts,2490000,2549000
nt0067846,2530000,2549000
Lester Burnham,2549000,2653000
Carolyn Burnham,2549000,2653000
Angela Hayes,2594000,2653000
Lester Burnham,2653000,2768000
Carolyn Burnham,2653000,2768000
Lester Burnham,2771000,2867000
Jim Olmeyer,2776000,2867000
Jim Berkley,2776000,2867000
Ricky Fitts,2801000,2867000
Colonel Fitts,2804000,2867000
Ricky Fitts,2867000,3002000
Lester Burnham,2868000,3002000
nt0313479,2965000,3002000
Carolyn Burnham,3002000,3082000
Lester Burnham,3021000,3082000
Lester Burnham,3082000,3186000
Brad,3082000,3186000
Carolyn Burnham,3186000,3265000
Buddy Kane,3188000,3265000
Ricky Fitts,3265000,3328000
Angela Hayes,3273000,3328000
Jane Burnham,3274000,3328000
Carolyn Burnham,3338000,3359000
Buddy Kane,3344000,3359000
Lester Burnham,3359000,3461000
Mr. Smiley's Counter Girl (Janine),3399000,3461000
Mr. Smiley's Manager,3438000,3461000
