character,start,end
Ramirez,69000,254000
Jimmy,69000,254000
Pratt,69000,254000
Tony Stark,74000,254000
Award Ceremony Narrator,258000,398000
Tony Stark,259000,398000
Howard Stark,268000,398000
Obadiah Stane,271000,398000
Himself,274000,398000
Rhodey,322000,398000
Tony Stark,398000,455000
Hogan,398000,455000
Woman at Craps Table,398000,455000
Woman at Craps Table,398000,455000
Dealer at Craps Table,398000,455000
Rhodey,407000,455000
Tony Stark,455000,543000
Hogan,455000,543000
Christine Everhart,459000,543000
Christine Everhart,543000,631000
Jarvis,547000,631000
Pepper Potts,604000,631000
Tony Stark,631000,744000
Pepper Potts,642000,744000
Jarvis,649000,744000
Tony Stark,752000,855000
Rhodey,756000,855000
Hogan,761000,855000
Flight Attendant,787000,855000
Flight Attendant,795000,855000
Flight Attendant,798000,855000
Tony Stark,860000,988000
General Gabriel,861000,988000
Rhodey,888000,988000
Obadiah Stane,957000,988000
Pratt,968000,988000
Ramirez,970000,988000
Tony Stark,988000,1152000
Yinsen,991000,1152000
Tony Stark,1153000,1326000
Yinsen,1153000,1326000
Abu Bakaar,1160000,1326000
Guard,1160000,1326000
Guard,1160000,1326000
Raza,1221000,1326000
Tony Stark,1326000,1893000
Yinsen,1327000,1893000
Abu Bakaar,1374000,1893000
Guard,1374000,1893000
Guard,1385000,1893000
Raza,1700000,1893000
Tony Stark,1893000,2100000
Yinsen,1917000,2100000
Raza,1963000,2100000
Guard,2097000,2100000
Guard,2097000,2100000
Guard,2117000,2518000
Iron Man,2130000,2518000
Raza,2232000,2518000
Yinsen,2244000,2518000
Rhodey,2499000,2518000
Hogan,2523000,2593000
Pepper Potts,2525000,2593000
Rhodey,2531000,2593000
Tony Stark,2533000,2593000
Hogan,2597000,2777000
Tony Stark,2598000,2777000
Pepper Potts,2598000,2777000
Obadiah Stane,2600000,2777000
Agent Coulson,2630000,2777000
Reporter,2663000,2777000
Reporter,2670000,2777000
Reporter,2670000,2777000
Rhodey,2679000,2777000
Obadiah Stane,2777000,2918000
Hogan,2777000,2918000
Tony Stark,2788000,2918000
Himself,2918000,3156000
Pepper Potts,2929000,3156000
Tony Stark,2942000,3156000
Rhodey,3160000,3252000
Tony Stark,3180000,3252000
Tony Stark,3255000,3469000
Jarvis,3260000,3469000
Raza,3315000,3469000
Pepper Potts,3432000,3469000
Tony Stark,3469000,3562000
Obadiah Stane,3474000,3562000
Pepper Potts,3477000,3562000
Tony Stark,3562000,3893000
Jarvis,3675000,3893000
Tony Stark,3893000,3930000
Guard,3931000,3958000
Guard,3931000,3958000
Raza,3935000,3958000
Tony Stark,3962000,4414000
Jarvis,3970000,4414000
Herself,3991000,4414000
Obadiah Stane,4011000,4414000
Stan's Girl,4086000,4414000
Stan's Girl,4087000,4414000
Himself,4087000,4414000
Stan's Girl,4087000,4414000
Stan's Girl,4089000,4414000
Agent Coulson,4112000,4414000
Pepper Potts,4141000,4414000
Christine Everhart,4304000,4414000
Abu Bakaar,4350000,4414000
Iron Man,4424000,4764000
Raza,4449000,4764000
Abu Bakaar,4585000,4764000
Gulmira Mom,4590000,4764000
Gulmira Kid,4590000,4764000
CAOC Analyst,4765000,5136000
Major Allen,4769000,5136000
CAOC Analyst,4778000,5136000
CAOC Analyst,4779000,5136000
Iron Man,4789000,5136000
Rhodey,4796000,5136000
Viper 1,4866000,5136000
Viper 2,4890000,5136000
Air Force Officer,4929000,5136000
Obadiah Stane,5086000,5136000
Pepper Potts,5100000,5136000
Jarvis,5104000,5136000
Guard,5140000,5306000
Raza,5140000,5306000
Guard,5140000,5306000
Obadiah Stane,5152000,5306000
Pepper Potts,5306000,5698000
Tony Stark,5308000,5698000
Obadiah Stane,5527000,5698000
Agent Coulson,5685000,5698000
Obadiah Stane,5698000,5926000
William Ginter Riva,5698000,5926000
Tony Stark,5743000,5926000
Pepper Potts,5753000,5926000
Rhodey,5928000,6182000
Pepper Potts,5930000,6182000
Agent Coulson,5936000,6182000
Tony Stark,5946000,6182000
Obadiah Stane,6012000,6182000
Pepper Potts,6182000,6545000
Agent Coulson,6182000,6545000
Obadiah Stane,6252000,6545000
Iron Man,6267000,6545000
Jarvis,6273000,6545000
Woman In SUV,6327000,6545000
Kid in SUV,6327000,6545000
Kid in SUV,6327000,6545000
Kid in SUV,6327000,6545000
Kid in SUV,6327000,6545000
CAOC Analyst,6459000,6545000
CAOC Analyst,6460000,6545000
Rhodey,6465000,6545000
Iron Man,6545000,6806000
Pepper Potts,6550000,6806000
Obadiah Stane,6557000,6806000
Rhodey,6809000,7037000
Tony Stark,6820000,7037000
Pepper Potts,6823000,7037000
Agent Coulson,6832000,7037000
Christine Everhart,6962000,7037000
Tony Stark,7513000,7561000
Jarvis,7516000,7561000
Nick Fury,7521000,7561000
