character,start,end
Jack,72000,318000
Ma,81000,318000
Ma,318000,543000
Jack,318000,543000
Jack,543000,743000
Old Nick,560000,743000
Ma,580000,743000
Ma,743000,1033000
Jack,749000,1033000
Ma,1033000,1133000
Jack,1037000,1133000
Jack,1133000,1470000
Ma,1154000,1470000
Old Nick,1155000,1470000
Ma,1475000,1872000
Jack,1475000,1872000
Ma,1872000,2085000
Jack,1872000,2085000
Ma,2085000,2237000
Jack,2096000,2237000
Jack,2240000,2457000
Ma,2241000,2457000
Old Nick,2371000,2457000
Jack,2457000,2848000
Ma,2461000,2848000
Old Nick,2725000,2848000
Jack,2848000,3191000
Old Nick,2867000,3191000
Ma,2960000,3191000
Officer Parker,3168000,3191000
Officer Grabowski,3168000,3191000
Jack,3191000,3613000
Officer Parker,3196000,3613000
Officer Grabowski,3217000,3613000
Ma,3490000,3613000
Nancy,3598000,3613000
Ma,3621000,4075000
Jack,3621000,4075000
Dr. Mittal,3889000,4075000
Robert,4047000,4075000
Nancy,4048000,4075000
Ma,4075000,4170000
Jack,4075000,4170000
Nancy,4092000,4170000
Robert,4092000,4170000
FBI Agent,4114000,4170000
News Anchor,4118000,4170000
Dr. Mittal,4134000,4170000
Ma,4183000,4473000
Jack,4183000,4473000
Nancy,4187000,4473000
Lawyer,4187000,4473000
Leo,4233000,4473000
Robert,4371000,4473000
Robert,4473000,4612000
Jack,4476000,4612000
Ma,4479000,4612000
Nancy,4480000,4612000
Leo,4487000,4612000
Nancy,4620000,4812000
Ma,4630000,4812000
Jack,4630000,4812000
Lawyer,4749000,4812000
Leo,4751000,4812000
Ma,4812000,5033000
Jack,4812000,5033000
Leo,4846000,5033000
Dr. Mittal,4980000,5033000
Nancy,4997000,5033000
Ma,5038000,5235000
Jack,5054000,5235000
Nancy,5075000,5235000
Leo,5075000,5235000
Talk Show Hostess,5240000,5491000
Jack,5248000,5491000
Nancy,5256000,5491000
Ma,5256000,5491000
Leo,5308000,5491000
Lawyer,5335000,5491000
Ma,5491000,5724000
Nancy,5513000,5724000
Leo,5513000,5724000
Jack,5513000,5724000
Jack,5724000,5823000
Nancy,5758000,5823000
Leo,5758000,5823000
Ma,5781000,5823000
Nancy,5824000,6020000
Jack,5824000,6020000
Neighbour,5857000,6020000
Leo,5940000,6020000
Jack,6020000,6209000
Nancy,6049000,6209000
Jack,6209000,6420000
Jack's Friend,6219000,6420000
Ma,6242000,6420000
Jack,6421000,6764000
Ma,6423000,6764000
Nancy,6452000,6764000
Leo,6452000,6764000
Officer Parker,6504000,6764000
