character,start,end
Klingon Captain,163000,261000
Lieutenant,301000,338000
Epsilon Technician,301000,338000
Klingon Captain,307000,338000
Commander Branch,321000,338000
Klingon Captain,358000,430000
Lieutenant,405000,430000
Commander Branch,405000,430000
Spock,430000,609000
Vulcan Master,456000,609000
Vulcan Master,456000,609000
Vulcan Master,456000,609000
Captain Kirk,632000,682000
Lt. Commander Sonak,642000,682000
Technician,727000,945000
Scotty,734000,945000
Captain Kirk,747000,945000
Captain Kirk,953000,1150000
Scotty,953000,1150000
Captain Kirk,1158000,1256000
Scotty,1158000,1256000
Cargo Deck Ensign,1158000,1256000
Alien Boy,1191000,1256000
Sulu,1198000,1256000
Chekov,1205000,1256000
Uhura,1208000,1256000
Captain Kirk,1256000,1412000
Scotty,1268000,1412000
Decker,1291000,1412000
Lt. Cleary,1291000,1412000
Scotty,1412000,1580000
Lt. Cleary,1412000,1580000
Captain Kirk,1415000,1580000
Janice Rand,1426000,1580000
Assistant to Rand,1430000,1580000
Decker,1555000,1580000
Chekov,1591000,1790000
Scotty,1591000,1790000
Sulu,1591000,1790000
Janice Rand,1591000,1790000
Captain Kirk,1603000,1790000
Uhura,1603000,1790000
Alien Boy,1603000,1790000
Commander Branch,1659000,1790000
Chekov,1796000,1874000
Sulu,1796000,1874000
Decker,1796000,1874000
Uhura,1796000,1874000
Captain Kirk,1799000,1874000
Ilia,1823000,1874000
Alien Boy,1832000,1874000
Captain Kirk,1874000,1974000
Assistant to Rand,1874000,1974000
Janice Rand,1874000,1974000
Dr. McCoy,1884000,1974000
Captain Kirk,1989000,2182000
Ilia,1989000,2182000
Sulu,1989000,2182000
Decker,1989000,2182000
Alien Boy,1989000,2182000
Uhura,1995000,2182000
Scotty,2114000,2182000
Technical Assistant,2116000,2182000
Captain Kirk,2182000,2259000
Ilia,2182000,2259000
Sulu,2182000,2259000
Decker,2182000,2259000
Alien Boy,2210000,2259000
Dr. McCoy,2217000,2259000
Scotty,2259000,2534000
Technical Assistant,2259000,2534000
Captain Kirk,2271000,2534000
Dr. McCoy,2271000,2534000
Ilia,2273000,2534000
Sulu,2273000,2534000
Decker,2273000,2534000
Alien Boy,2315000,2534000
Uhura,2322000,2534000
Chekov,2326000,2534000
Scotty,2534000,2569000
Lt. Cleary,2534000,2569000
Captain Kirk,2539000,2569000
Dr. McCoy,2539000,2569000
Decker,2539000,2569000
Uhura,2555000,2569000
Captain Kirk,2569000,2705000
Dr. McCoy,2569000,2705000
Decker,2569000,2705000
Ilia,2664000,2705000
Captain Kirk,2705000,2787000
Dr. McCoy,2705000,2787000
Uhura,2737000,2787000
Chekov,2749000,2787000
Chekov,2844000,2979000
Spock,2854000,2979000
Decker,2868000,2979000
Uhura,2868000,2979000
Captain Kirk,2872000,2979000
Ilia,2872000,2979000
Sulu,2872000,2979000
Alien Boy,2872000,2979000
Dr. Chapel,2933000,2979000
Dr. McCoy,2933000,2979000
Captain Kirk,2990000,3058000
Spock,2992000,3058000
Scotty,2992000,3058000
Technical Assistant,2992000,3058000
Ilia,3008000,3058000
Sulu,3008000,3058000
Decker,3032000,3058000
Uhura,3039000,3058000
Chekov,3045000,3058000
Captain Kirk,3062000,3227000
Dr. McCoy,3062000,3227000
Spock,3066000,3227000
Uhura,3221000,3227000
Scotty,3227000,3364000
Technical Assistant,3227000,3364000
Spock,3235000,3364000
Captain Kirk,3235000,3364000
Ilia,3235000,3364000
Decker,3235000,3364000
Uhura,3235000,3364000
Alien Boy,3240000,3364000
Sulu,3241000,3364000
Chekov,3264000,3364000
Spock,3366000,3653000
Decker,3366000,3653000
Captain Kirk,3377000,3653000
Ilia,3377000,3653000
Sulu,3377000,3653000
Uhura,3396000,3653000
Chekov,3413000,3653000
Scotty,3450000,3653000
Technical Assistant,3450000,3653000
Dr. Chapel,3488000,3653000
Alien Boy,3499000,3653000
Ilia,3658000,3973000
Sulu,3658000,3973000
Spock,3660000,3973000
Decker,3660000,3973000
Captain Kirk,3661000,3973000
Uhura,3671000,3973000
Alien Boy,3682000,3973000
Chekov,3889000,3973000
Dr. McCoy,3889000,3973000
Spock,3986000,4260000
Captain Kirk,3986000,4260000
Ilia,3986000,4260000
Sulu,3986000,4260000
Decker,3986000,4260000
Uhura,4081000,4260000
Captain Kirk,4261000,4449000
Spock,4262000,4449000
Ilia,4262000,4449000
Sulu,4262000,4449000
Decker,4262000,4449000
Chekov,4263000,4449000
Uhura,4330000,4449000
Alien Boy,4338000,4449000
Spock,4460000,4547000
Captain Kirk,4460000,4547000
Sulu,4460000,4547000
Decker,4460000,4547000
Scotty,4478000,4547000
Chief DiFalco,4512000,4547000
Dr. McCoy,4525000,4547000
Uhura,4535000,4547000
Spock,4559000,4815000
Captain Kirk,4571000,4815000
Dr. McCoy,4571000,4815000
Decker,4574000,4815000
Uhura,4574000,4815000
Sulu,4659000,4815000
Chief DiFalco,4659000,4815000
Chekov,4802000,4815000
Ilia,4815000,4985000
Captain Kirk,4817000,4985000
Spock,4818000,4985000
Dr. McCoy,4861000,4985000
Dr. McCoy,4989000,5141000
Spock,4994000,5141000
Captain Kirk,4994000,5141000
Dr. Chapel,4994000,5141000
Ilia,4994000,5141000
Decker,5004000,5141000
Captain Kirk,5141000,5315000
Ilia,5149000,5315000
Decker,5149000,5315000
Dr. McCoy,5161000,5315000
Spock,5325000,5444000
Dr. McCoy,5357000,5444000
Ilia,5357000,5444000
Decker,5357000,5444000
Dr. Chapel,5360000,5444000
Spock,5444000,5552000
Captain Kirk,5510000,5552000
Sulu,5510000,5552000
Uhura,5510000,5552000
Chekov,5522000,5552000
Spock,5552000,5793000
Ilia,5709000,5793000
Captain Kirk,5743000,5793000
Spock,5793000,6021000
Dr. Chapel,5804000,6021000
Captain Kirk,5810000,6021000
Dr. McCoy,5810000,6021000
Uhura,5961000,6021000
Chekov,5967000,6021000
Sulu,5975000,6021000
Dr. McCoy,6027000,6267000
Spock,6029000,6267000
Captain Kirk,6029000,6267000
Uhura,6030000,6267000
Ilia,6041000,6267000
Decker,6041000,6267000
Chekov,6052000,6267000
Sulu,6054000,6267000
Chief DiFalco,6095000,6267000
Alien Boy,6231000,6267000
Spock,6267000,6486000
Captain Kirk,6267000,6486000
Dr. McCoy,6267000,6486000
Decker,6267000,6486000
Ilia,6274000,6486000
Alien Boy,6289000,6486000
Uhura,6290000,6486000
Sulu,6318000,6486000
Chief DiFalco,6318000,6486000
Chekov,6347000,6486000
Spock,6486000,6616000
Captain Kirk,6486000,6616000
Dr. McCoy,6486000,6616000
Sulu,6486000,6616000
Decker,6486000,6616000
Uhura,6486000,6616000
Chekov,6492000,6616000
Chief DiFalco,6501000,6616000
Ilia,6554000,6616000
Spock,6628000,6890000
Captain Kirk,6628000,6890000
Dr. McCoy,6628000,6890000
Ilia,6628000,6890000
Decker,6628000,6890000
Spock,6890000,7173000
Captain Kirk,6890000,7173000
Ilia,6890000,7173000
Decker,6890000,7173000
Sulu,6978000,7173000
Uhura,6978000,7173000
Chekov,6981000,7173000
Dr. McCoy,6995000,7173000
Ilia,7178000,7446000
Spock,7184000,7446000
Captain Kirk,7187000,7446000
Dr. McCoy,7197000,7446000
Decker,7197000,7446000
Spock,7451000,7615000
Captain Kirk,7451000,7615000
Dr. McCoy,7451000,7615000
Sulu,7451000,7615000
Chief DiFalco,7451000,7615000
Uhura,7451000,7615000
Alien Boy,7451000,7615000
Chekov,7455000,7615000
Dr. Chapel,7524000,7615000
Scotty,7524000,7615000
