character,start,end
Dorothy,116000,185000
Toto,117000,185000
Auntie Em,144000,185000
Uncle Henry,145000,185000
'Hunk',185000,348000
'Hickory',185000,348000
'Zeke',185000,348000
Dorothy,193000,348000
Toto,194000,348000
Auntie Em,269000,348000
Dorothy,348000,481000
Toto,390000,481000
Miss Gulch,481000,516000
Uncle Henry,492000,516000
Dorothy,517000,621000
Miss Gulch,517000,621000
Auntie Em,517000,621000
Toto,517000,621000
Uncle Henry,526000,621000
Miss Gulch,622000,661000
Toto,629000,661000
Dorothy,636000,661000
Dorothy,661000,905000
Toto,661000,905000
Professor Marvel,682000,905000
Auntie Em,801000,905000
Uncle Henry,912000,1031000
'Hunk',914000,1031000
'Hickory',921000,1031000
Auntie Em,931000,1031000
Dorothy,941000,1031000
Toto,942000,1031000
'Zeke',949000,1031000
Dorothy,1031000,1139000
Toto,1050000,1139000
Miss Gulch,1097000,1139000
The Wicked Witch of the West,1107000,1139000
Dorothy,1139000,1292000
Toto,1139000,1292000
The Munchkins,1257000,1292000
Glinda,1292000,1531000
Dorothy,1295000,1531000
Toto,1313000,1531000
The Munchkins,1375000,1531000
Munchkin Fiddler,1402000,1531000
Munchkin Coach Driver,1464000,1531000
The Munchkins,1531000,1746000
Munchkin Mayor,1535000,1746000
Dorothy,1541000,1746000
Munchkin Father,1541000,1746000
Munchkin Coach Driver,1541000,1746000
Munchkin Barrister,1541000,1746000
Toto,1541000,1746000
Glinda,1580000,1746000
Munchkin Coroner,1582000,1746000
Munchkin Fiddler,1618000,1746000
Sleepyhead,1620000,1746000
Sleepyhead,1620000,1746000
Sleepyhead,1620000,1746000
Munchkin Soldier,1643000,1746000
Lollipop Guild Member,1655000,1746000
Lollipop Guild Member,1655000,1746000
Lollipop Guild Member,1655000,1746000
Lullaby League Member,1657000,1746000
Lullaby League Member,1657000,1746000
Lullabye League Member,1657000,1746000
The Wicked Witch of the West,1748000,1946000
Dorothy,1754000,1946000
Toto,1754000,1946000
Glinda,1761000,1946000
The Munchkins,1848000,1946000
Munchkin Mayor,1864000,1946000
Munchkin Father,1864000,1946000
Munchkin Barrister,1864000,1946000
Munchkin Coroner,1864000,1946000
Lollipop Guild Member,1947000,2026000
Lollipop Guild Member,1947000,2026000
Lollipop Guild Member,1947000,2026000
The Munchkins,1948000,2026000
Dorothy,1954000,2026000
Munchkin Mayor,1954000,2026000
Toto,1954000,2026000
Munchkin Father,1975000,2026000
Munchkin Barrister,1979000,2026000
Dorothy,2027000,2195000
Toto,2027000,2195000
The Scarecrow,2045000,2195000
Crow in Cornfield,2171000,2195000
Dorothy,2195000,2354000
The Scarecrow,2195000,2354000
Toto,2195000,2354000
Dorothy,2354000,2435000
The Scarecrow,2354000,2435000
Toto,2356000,2435000
The Wicked Witch of the West,2362000,2435000
Apple Tree,2366000,2435000
Dorothy,2435000,2570000
The Tin Man,2435000,2570000
The Scarecrow,2458000,2570000
Dorothy,2570000,2759000
The Scarecrow,2570000,2759000
The Tin Man,2570000,2759000
Toto,2648000,2759000
The Wicked Witch of the West,2755000,2759000
The Wicked Witch of the West,2759000,2877000
The Tin Man,2759000,2877000
Dorothy,2763000,2877000
The Scarecrow,2763000,2877000
Toto,2763000,2877000
Dorothy,2877000,3130000
The Scarecrow,2877000,3130000
The Tin Man,2877000,3130000
Toto,2886000,3130000
The Cowardly Lion,2942000,3130000
Dorothy,3130000,3195000
The Scarecrow,3130000,3195000
The Tin Man,3130000,3195000
The Cowardly Lion,3130000,3195000
Toto,3130000,3195000
Dorothy,3195000,3380000
The Scarecrow,3195000,3380000
The Tin Man,3195000,3380000
The Cowardly Lion,3195000,3380000
The Wicked Witch of the West,3200000,3380000
Nikko,3200000,3380000
Toto,3271000,3380000
Dorothy,3380000,3488000
The Scarecrow,3380000,3488000
The Tin Man,3380000,3488000
The Cowardly Lion,3380000,3488000
Glinda,3381000,3488000
Toto,3403000,3488000
The Wicked Witch of the West,3426000,3488000
Nikko,3426000,3488000
Dorothy,3489000,3678000
The Scarecrow,3489000,3678000
The Tin Man,3489000,3678000
The Cowardly Lion,3489000,3678000
Toto,3491000,3678000
The Guard,3505000,3678000
The Gatekeeper,3525000,3678000
The Carriage Driver,3597000,3678000
The Scarecrow,3678000,3735000
The Tin Man,3684000,3735000
Tin Polisher,3685000,3735000
Dorothy,3694000,3735000
Emerald City Manicurist,3702000,3735000
Emerald City Manicurist,3702000,3735000
The Cowardly Lion,3702000,3735000
Emerald City Manicurist,3702000,3735000
