nconst,character,start,end
nm0001592,Cypher,48000,206000
nm0005251,Trinity,49000,206000
nm0496567,Big Cop,113000,206000
nm0853079,Agent Jones,136000,206000
nm0323822,Agent Brown,137000,206000
nm0915989,Agent Smith,137000,206000
nm0949303,Lieutenant,142000,206000
nm0005251,Trinity,206000,396000
nm0000401,Morpheus,209000,396000
nm0323822,Agent Brown,225000,396000
nm0915989,Agent Smith,235000,396000
nm0853079,Agent Jones,371000,396000
nm0000206,Neo,406000,583000
nm0000401,Morpheus,411000,583000
nm0336802,Choi,476000,583000
nm0630124,Dujour (White Rabbit Girl),489000,583000
nm0336802,Choi,592000,718000
nm0630124,Dujour (White Rabbit Girl),592000,718000
nm0000206,Neo,596000,718000
nm0005251,Trinity,608000,718000
nm0000206,Neo,720000,776000
nm0040058,Rhineheart,724000,776000
nm0000206,Neo,778000,1008000
nm0640292,FedEx Man,783000,1008000
nm0000401,Morpheus,817000,1008000
nm0323822,Agent Brown,851000,1008000
nm0853079,Agent Jones,851000,1008000
nm0915989,Agent Smith,851000,1008000
nm0778966,Cop,884000,1008000
nm0000206,Neo,1008000,1293000
nm0323822,Agent Brown,1008000,1293000
nm0853079,Agent Jones,1008000,1293000
nm0915989,Agent Smith,1008000,1293000
nm0005251,Trinity,1010000,1293000
nm0000206,Neo,1293000,1356000
nm0000401,Morpheus,1321000,1356000
nm0000206,Neo,1356000,1504000
nm0005251,Trinity,1365000,1504000
nm0032810,Apoc,1365000,1504000
nm0565883,Switch,1365000,1504000
nm0005251,Trinity,1512000,1945000
nm0000206,Neo,1515000,1945000
nm0000401,Morpheus,1544000,1945000
nm0001592,Cypher,1794000,1945000
nm0032810,Apoc,1798000,1945000
nm0565883,Switch,1800000,1945000
nm0000206,Neo,1945000,2122000
nm0005251,Trinity,2107000,2122000
nm0000401,Morpheus,2109000,2122000
nm0233391,Mouse,2110000,2122000
nm0159059,Tank,2113000,2122000
nm0662562,Dozer,2113000,2122000
nm0000401,Morpheus,2122000,2199000
nm0005251,Trinity,2126000,2199000
nm0000206,Neo,2132000,2199000
nm0662562,Dozer,2152000,2199000
nm0000206,Neo,2199000,2365000
nm0000401,Morpheus,2245000,2365000
nm0233391,Mouse,2283000,2365000
nm0565883,Switch,2296000,2365000
nm0005251,Trinity,2302000,2365000
nm0032810,Apoc,2306000,2365000
nm0001592,Cypher,2308000,2365000
nm0662562,Dozer,2312000,2365000
nm0159059,Tank,2313000,2365000
nm0000206,Neo,2365000,2664000
nm0000401,Morpheus,2370000,2664000
nm0005251,Trinity,2637000,2664000
nm0662562,Dozer,2638000,2664000
nm0001592,Cypher,2650000,2664000
nm0032810,Apoc,2650000,2664000
nm0159059,Tank,2650000,2664000
nm0233391,Mouse,2650000,2664000
nm0565883,Switch,2650000,2664000
nm0000206,Neo,2664000,2796000
nm0000401,Morpheus,2678000,2796000
nm0000206,Neo,2801000,2953000
nm0159059,Tank,2807000,2953000
nm0000401,Morpheus,2928000,2953000
nm0000206,Neo,2953000,3338000
nm0000401,Morpheus,2954000,3338000
nm0233391,Mouse,3028000,3338000
nm0001592,Cypher,3031000,3338000
nm0005251,Trinity,3031000,3338000
nm0032810,Apoc,3031000,3338000
nm0565883,Switch,3031000,3338000
nm0662562,Dozer,3031000,3338000
nm0159059,Tank,3066000,3338000
nm0005251,Trinity,3340000,3392000
nm0000206,Neo,3343000,3392000
nm0001592,Cypher,3363000,3392000
nm0000401,Morpheus,3396000,3541000
nm0000206,Neo,3400000,3541000
nm0425087,Woman in Red,3427000,3541000
nm0915989,Agent Smith,3438000,3541000
nm0000401,Morpheus,3551000,3669000
nm0662562,Dozer,3551000,3669000
nm0000206,Neo,3554000,3669000
nm0005251,Trinity,3555000,3669000
nm0001592,Cypher,3595000,3669000
nm0032810,Apoc,3595000,3669000
nm0159059,Tank,3595000,3669000
nm0233391,Mouse,3595000,3669000
nm0565883,Switch,3595000,3669000
nm0001592,Cypher,3671000,3822000
nm0000206,Neo,3677000,3822000
nm0001592,Cypher,3822000,3917000
nm0915989,Agent Smith,3824000,3917000
nm0001592,Cypher,3917000,4028000
nm0159059,Tank,3917000,4028000
nm0000206,Neo,3925000,4028000
nm0032810,Apoc,3925000,4028000
nm0233391,Mouse,3925000,4028000
nm0565883,Switch,3925000,4028000
nm0662562,Dozer,3925000,4028000
nm0005251,Trinity,3926000,4028000
nm0000401,Morpheus,4013000,4028000
nm0159059,Tank,4030000,4354000
nm0005251,Trinity,4039000,4354000
nm0000206,Neo,4043000,4354000
nm0001592,Cypher,4045000,4354000
nm0233391,Mouse,4048000,4354000
nm0565883,Switch,4049000,4354000
nm0000401,Morpheus,4052000,4354000
nm0032810,Apoc,4052000,4354000
nm0230117,Blind Man,4159000,4354000
nm0330139,Priestess,4241000,4354000
nm0114756,Potential,4261000,4354000
nm0864666,Potential,4262000,4354000
nm0924423,Potential,4271000,4354000
nm0671665,Potential,4274000,4354000
nm0936860,Potential,4274000,4354000
nm0936894,Spoon Boy,4285000,4354000
nm0000206,Neo,4354000,4669000
nm0287825,Oracle,4356000,4669000
nm0000401,Morpheus,4645000,4669000
nm0233391,Mouse,4669000,5046000
nm0425087,Woman in Red,4669000,5046000
nm0159059,Tank,4682000,5046000
nm0032810,Apoc,4684000,5046000
nm0565883,Switch,4684000,5046000
nm0000401,Morpheus,4695000,5046000
nm0005251,Trinity,4695000,5046000
nm0000206,Neo,4699000,5046000
nm0001592,Cypher,4699000,5046000
nm0915989,Agent Smith,4845000,5046000
nm0323822,Agent Brown,4849000,5046000
nm0000401,Morpheus,5046000,5106000
nm0915989,Agent Smith,5046000,5106000
nm0159059,Tank,5104000,5106000
nm0005251,Trinity,5106000,5488000
nm0159059,Tank,5109000,5488000
nm0001592,Cypher,5111000,5488000
nm0000206,Neo,5134000,5488000
nm0565883,Switch,5134000,5488000
nm0032810,Apoc,5145000,5488000
nm0662562,Dozer,5156000,5488000
nm0000401,Morpheus,5280000,5488000
nm0853079,Agent Jones,5495000,5845000
nm0915989,Agent Smith,5499000,5845000
nm0000401,Morpheus,5520000,5845000
nm0323822,Agent Brown,5548000,5845000
nm0000206,Neo,5612000,5845000
nm0005251,Trinity,5614000,5845000
nm0159059,Tank,5614000,5845000
nm0915989,Agent Smith,5845000,6065000
nm0000401,Morpheus,5850000,6065000
nm0159059,Tank,5923000,6065000
nm0000206,Neo,5927000,6065000
nm0005251,Trinity,5935000,6065000
nm0323822,Agent Brown,5951000,6065000
nm0853079,Agent Jones,5953000,6065000
nm0000206,Neo,6065000,6260000
nm0704280,Security Guard,6082000,6260000
nm0005251,Trinity,6106000,6260000
nm0323822,Agent Brown,6260000,6466000
nm0853079,Agent Jones,6260000,6466000
nm0000401,Morpheus,6263000,6466000
nm0915989,Agent Smith,6263000,6466000
nm0000206,Neo,6272000,6466000
nm0005251,Trinity,6273000,6466000
nm0159059,Tank,6444000,6466000
nm0323822,Agent Brown,6466000,6777000
nm0853079,Agent Jones,6466000,6777000
nm0915989,Agent Smith,6466000,6777000
nm0000401,Morpheus,6469000,6777000
nm0000206,Neo,6470000,6777000
nm0005251,Trinity,6471000,6777000
nm0159059,Tank,6690000,6777000
nm0000206,Neo,6777000,7130000
nm0000401,Morpheus,6777000,7130000
nm0005251,Trinity,6777000,7130000
nm0915989,Agent Smith,6801000,7130000
nm0159059,Tank,6859000,7130000
nm0000401,Morpheus,7130000,7348000
nm0159059,Tank,7130000,7348000
nm0005251,Trinity,7131000,7348000
nm0000206,Neo,7163000,7348000
nm0050390,Businessman,7163000,7348000
nm0915989,Agent Smith,7172000,7348000
nm0853079,Agent Jones,7186000,7348000
nm0323822,Agent Brown,7199000,7348000
nm0000206,Neo,7348000,7674000
nm0915989,Agent Smith,7357000,7674000
nm0005251,Trinity,7386000,7674000
nm0000401,Morpheus,7402000,7674000
nm0323822,Agent Brown,7405000,7674000
nm0853079,Agent Jones,7405000,7674000
nm0159059,Tank,7428000,7674000
nm0000206,Neo,7679000,7766000
