Date,Shuttle
12-Apr-81,Columbia
12-Nov-81,Columbia
22-Mar-82,Columbia
27-Jun-82,Columbia
11-Nov-82,Columbia
4-Apr-83,Challenger
18-Jun-83,Challenger
30-Aug-83,Challenger
28-Nov-83,Columbia
3-Feb-84,Challenger
6-Apr-84,Challenger
30-Aug-84,Discovery
5-Oct-84,Challenger
8-Nov-84,Discovery
24-Jan-85,Discovery
12-Apr-85,Discovery
29-Apr-85,Challenger
17-Jun-85,Discovery
29-Jul-85,Challenger
27-Aug-85,Discovery
3-Oct-85,Atlantis
30-Oct-85,Challenger
26-Nov-85,Atlantis
12-Jan-86,Columbia
28-Jan-86,Challenger
29-Sep-88,Discovery
2-Dec-88,Atlantis
13-Mar-89,Discovery
4-May-89,Atlantis
8-Aug-89,Columbia
18-Oct-89,Atlantis
22-Nov-89,Discovery
9-Jan-90,Columbia
28-Feb-90,Atlantis
24-Apr-90,Discovery
6-Oct-90,Discovery
15-Nov-90,Atlantis
2-Dec-90,Columbia
5-Apr-91,Atlantis
28-Apr-91,Discovery
5-Jun-91,Columbia
2-Aug-91,Atlantis
12-Sep-91,Discovery
24-Nov-91,Atlantis
22-Jan-92,Discovery
24-Mar-92,Atlantis
7-May-92,Endeavour
25-Jun-92,Columbia
31-Jul-92,Atlantis
12-Sep-92,Endeavour
22-Oct-92,Columbia
2-Dec-92,Discovery
13-Jan-93,Endeavour
8-Apr-93,Discovery
26-Apr-93,Columbia
21-Jun-93,Endeavour
12-Sep-93,Discovery
18-Oct-93,Columbia
2-Dec-93,Endeavour
3-Feb-94,Discovery
4-Mar-94,Columbia
9-Apr-94,Endeavour
8-Jul-94,Columbia
9-Sep-94,Discovery
30-Sep-94,Endeavour
3-Nov-94,Atlantis
3-Feb-95,Discovery
2-Mar-95,Endeavour
27-Jun-95,Atlantis
13-Jul-95,Discovery
7-Sep-95,Endeavour
20-Oct-95,Columbia
12-Nov-95,Atlantis
11-Jan-96,Endeavour
22-Feb-96,Columbia
22-Mar-96,Atlantis
19-May-96,Endeavour
20-Jun-96,Columbia
16-Sep-96,Atlantis
19-Nov-96,Columbia
12-Jan-97,Atlantis
11-Feb-97,Discovery
4-Apr-97,Columbia
15-May-97,Atlantis
1-Jul-97,Columbia
7-Aug-97,Discovery
25-Sep-97,Atlantis
19-Nov-97,Columbia
22-Jan-98,Endeavour
17-Apr-98,Columbia
2-Jun-98,Discovery
29-Oct-98,Discovery
4-Dec-98,Endeavour
27-May-99,Discovery
23-Jul-99,Columbia
19-Dec-99,Discovery
11-Feb-00,Endeavour
19-May-00,Atlantis
8-Sep-00,Atlantis
11-Oct-00,Discovery
30-Nov-00,Endeavour
7-Feb-01,Atlantis
8-Mar-01,Discovery
19-Apr-01,Endeavour
12-Jul-01,Atlantis
10-Aug-01,Discovery
5-Dec-01,Endeavour
1-Mar-02,Columbia
8-Apr-02,Atlantis
5-Jun-02,Endeavour
7-Oct-02,Atlantis
23-Nov-02,Endeavour
16-Jan-03,Columbia
26-Jul-05,Discovery
4-Jul-06,Discovery
9-Sep-06,Atlantis
9-Dec-06,Discovery
8-Jun-07,Atlantis
8-Aug-07,Endeavour
23-Oct-07,Discovery
7-Feb-08,Atlantis
11-Mar-08,Endeavour
31-May-08,Discovery
14-Nov-08,Endeavour
15-Mar-09,Discovery
11-May-09,Atlantis
15-Jul-09,Endeavour
28-Aug-09,Discovery
16-Nov-09,Atlantis
8-Feb-10,Endeavour
5-Apr-10,Discovery
14-May-10,Atlantis
24-Feb-11,Discovery
16-May-11,Endeavour
8-Jul-11,Atlantis
